NAME	LOCATION	STATUS	LATX	LONGX	TYPE
Ebeko	Kuril Is	Historical	50.68333333	156.0166667	Somma volcano
Alaid	Kuril Is	Historical	50.85833333	155.55	Stratovolcano
Mashkovtsev	Kamchatka	Holocene	51.1	156.7166667	Stratovolcano
Kambalny	Kamchatka	Historical	51.3	156.8666667	Stratovolcano
Yavinsky	Kamchatka	Tephrochronology	51.56666667	156.6	Stratovolcano
Diky Greben	Kamchatka	Radiocarbon	51.45	156.9666667	Lava domes
Kurile Lake	Kamchatka	Radiocarbon	51.45	157.1166667	Caldera
Koshelev	Kamchatka	Historical	51.35666667	156.75	Stratovolcano
Ilyinsky	Kamchatka	Historical	51.49	157.2	Stratovolcano
Kell	Kamchatka	Holocene	51.65	157.35	Stratovolcanoes
Belenkaya	Kamchatka	Holocene	51.75	157.2666667	Stratovolcano
Zheltovsky	Kamchatka	Historical	51.56666667	157.3233333	Stratovolcano
Ozernoy	Kamchatka	Holocene	51.88333333	157.3833333	Shield volcano
Olkoviy Volc Group	Kamchatka	Holocene	52.01666667	157.5333333	Volcanic field
Khodutka	Kamchatka	Radiocarbon	52.0625	157.7033333	Stratovolcanoes
Piratkovsky	Kamchatka	Holocene	52.1125	157.8486111	Stratovolcano
